V_f (m^3),Work (J)
0.14984984984984986,-931.4360084400909
0.15005005005005007,-934.267864042061
0.15025025025025027,-937.0944349250071
0.15045045045045047,-939.9157379730427
0.15065065065065067,-942.7317899939404
0.15085085085085087,-945.542607719615
0.15105105105105107,-948.3482078065513
0.15125125125125127,-951.1486068362383
0.15145145145145147,-953.9438213156232
0.15165165165165168,-956.7338676775166
0.15185185185185188,-959.5187622810531
0.15205205205205208,-962.2985214120997
0.15225225225225225,-965.0731612836839
0.15245245245245248,-967.8426980364205
0.15265265265265265,-970.6071477389153
0.15285285285285288,-973.3665263881988
0.15305305305305306,-976.1208499101242
0.15325325325325329,-978.8701341597825
0.15345345345345346,-981.6143949219072
0.15365365365365366,-984.3536479112859
0.15385385385385386,-987.0879087731375
0.15405405405405406,-989.8171930835465
0.15425425425425426,-992.5415163498197
0.15445445445445447,-995.2608940109085
0.15465465465465467,-997.9753414377733
0.15485485485485487,-1000.6848739338056
0.15505505505505507,-1003.3895067351676
0.15525525525525527,-1006.0892550112102
0.15545545545545547,-1008.7841338648346
0.15565565565565567,-1011.4741583328636
0.15585585585585587,-1014.1593433864309
0.15605605605605607,-1016.8397039313463
0.15625625625625628,-1019.5152548084599
0.15645645645645648,-1022.1860107940238
0.15665665665665668,-1024.851986600073
0.15685685685685688,-1027.5131968747664
0.15705705705705708,-1030.1696562027619
0.15725725725725728,-1032.8213791055546
0.15745745745745748,-1035.4683800418447
0.15765765765765766,-1038.1106734078883
0.1578578578578579,-1040.7482735378287
0.15805805805805806,-1043.3811947040717
0.1582582582582583,-1046.0094511176005
0.15845845845845846,-1048.633056928336
0.1586586586586587,-1051.2520262254702
0.15885885885885886,-1053.8663730377948
0.15905905905905907,-1056.4761113340544
0.15925925925925927,-1059.081255023263
0.15945945945945947,-1061.6818179550387
0.15965965965965967,-1064.2778139199274
0.15985985985985987,-1066.8692566497423
0.16006006006006007,-1069.456159817875
0.16026026026026027,-1072.0385370396154
0.16046046046046047,-1074.6164018724803
0.16066066066066068,-1077.1897678165235
0.16086086086086088,-1079.7586483146497
0.16106106106106108,-1082.3230567529254
0.16126126126126128,-1084.8830064609142
0.16146146146146148,-1087.4385107119408
0.16166166166166168,-1089.9895827234252
0.16186186186186188,-1092.5362356572
0.16206206206206208,-1095.0784826197773
0.16226226226226229,-1097.616336662681
0.1624624624624625,-1100.1498107827194
0.16266266266266266,-1102.6789179223078
0.1628628628628629,-1105.2036709697354
0.16306306306306306,-1107.724082759482
0.1632632632632633,-1110.2401660724934
0.16346346346346347,-1112.7519336364753
0.1636636636636637,-1115.259398126177
0.16386386386386387,-1117.7625721636814
0.1640640640640641,-1120.2614683186857
0.16426426426426427,-1122.756099108775
0.1644644644644645,-1125.2464769997127
0.16466466466466467,-1127.7326144057165
0.1648648648648649,-1130.2145236897309
0.16506506506506508,-1132.6922171636816
0.16526526526526528,-1135.1657070887966
0.16546546546546548,-1137.6350056758276
0.16566566566566568,-1140.1001250853342
0.16586586586586588,-1142.561077427966
0.16606606606606608,-1145.0178747647105
0.16626626626626628,-1147.470529107148
0.16646646646646648,-1149.9190524177486
0.16666666666666669,-1152.3634566100882
0.1668668668668669,-1154.803753549141
0.1670670670670671,-1157.2399550515183
0.1672672672672673,-1159.6720728857226
0.1674674674674675,-1162.1001187724105
0.1676676676676677,-1164.5241043846424
0.1678678678678679,-1166.9440413481173
0.16806806806806807,-1169.3599412414467
0.1682682682682683,-1171.7718155963826
0.16846846846846847,-1174.1796758980622
0.1686686686686687,-1176.583533585258
0.16886886886886887,-1178.983400050629
0.1690690690690691,-1181.3792866409333
0.16926926926926927,-1183.7712046572988
0.1694694694694695,-1186.1591653554412
0.16966966966966968,-1188.5431799458956
0.1698698698698699,-1190.9232595942815
0.17007007007007008,-1193.299415421489
0.1702702702702703,-1195.671658503952
0.17047047047047048,-1198.0399998738446
0.17067067067067068,-1200.404450519353
0.17087087087087088,-1202.765021384852
0.17107107107107108,-1205.1217233711618
0.17127127127127129,-1207.4745673357593
0.1714714714714715,-1209.8235640930156
0.1716716716716717,-1212.1687244144018
0.1718718718718719,-1214.5100590287168
0.1720720720720721,-1216.847578622304
0.1722722722722723,-1219.1812938392645
0.1724724724724725,-1221.511215281678
0.1726726726726727,-1223.8373535098249
0.1728728728728729,-1226.1597190423727
0.1730730730730731,-1228.478322356617
0.1732732732732733,-1230.7931738886878
0.17347347347347347,-1233.1042840337354
0.1736736736736737,-1235.4116631461566
0.17387387387387387,-1237.715321539816
0.1740740740740741,-1240.0152694882117
0.17427427427427428,-1242.3115172247167
0.1744744744744745,-1244.604074942756
0.17467467467467468,-1246.8929527960318
0.1748748748748749,-1249.1781608986971
0.17507507507507508,-1251.4597093255757
0.1752752752752753,-1253.737608112347
0.17547547547547548,-1256.0118672557637
0.1756756756756757,-1258.2824967138079
0.1758758758758759,-1260.5495064059203
0.17607607607607612,-1262.8129062131902
0.1762762762762763,-1265.0727059785227
0.1764764764764765,-1267.3289155068583
0.1766766766766767,-1269.5815445653343
0.1768768768768769,-1271.8306028835052
0.1770770770770771,-1274.0761001535045
0.1772772772772773,-1276.3180460302374
0.1774774774774775,-1278.5564501315666
0.1776776776776777,-1280.7913220384996
0.1778778778778779,-1283.0226712953715
0.1780780780780781,-1285.2505074100127
0.1782782782782783,-1287.4748398539473
0.1784784784784785,-1289.6956780625655
0.1786786786786787,-1291.9130314352935
0.1788788788788789,-1294.1269093357841
0.1790790790790791,-1296.3373210920945
0.17927927927927928,-1298.5442759968355
0.1794794794794795,-1300.7477833073735
0.17967967967967968,-1302.9478522460017
0.1798798798798799,-1305.144492000084
0.18008008008008008,-1307.3377117222626
0.18028028028028031,-1309.5275205306089
0.1804804804804805,-1311.7139275087786
0.18068068068068072,-1313.8969417062212
0.1808808808808809,-1316.0765721382932
0.18108108108108112,-1318.252827786474
0.1812812812812813,-1320.4257175984903
0.18148148148148152,-1322.5952504885051
0.1816816816816817,-1324.7614353372805
0.1818818818818819,-1326.9242809923169
0.1820820820820821,-1329.0837962680353
0.1822822822822823,-1331.2399899459365
0.1824824824824825,-1333.392870774751
0.1826826826826827,-1335.5424474705997
0.1828828828828829,-1337.6887287171448
0.1830830830830831,-1339.831723165766
0.1832832832832833,-1341.9714394356993
0.1834834834834835,-1344.107886114185
0.1836836836836837,-1346.241071756644
0.1838838838838839,-1348.3710048868097
0.1840840840840841,-1350.497693996892
0.1842842842842843,-1352.621147547712
0.1844844844844845,-1354.741373968884
0.18468468468468469,-1356.8583816589285
0.18488488488488491,-1358.972178985433
0.1850850850850851,-1361.0827742852134
0.18528528528528532,-1363.1901758644362
0.1854854854854855,-1365.2943919987952
0.18568568568568572,-1367.395430933616
0.1858858858858859,-1369.4933008840367
0.18608608608608612,-1371.5880100351271
0.1862862862862863,-1373.6795665420457
0.18648648648648652,-1375.7679785301698
0.1866866866866867,-1377.8532540952438
0.18688688688688693,-1379.9354013035172
0.1870870870870871,-1382.0144281918756
0.1872872872872873,-1384.0903427679975
0.1874874874874875,-1386.1631530104714
0.1876876876876877,-1388.2328668689436
0.1878878878878879,-1390.2994922642552
0.1880880880880881,-1392.3630370885553
0.1882882882882883,-1394.4235092054823
0.1884884884884885,-1396.4809164502433
0.1886886886886887,-1398.5352666297822
0.1888888888888889,-1400.5865675228931
0.1890890890890891,-1402.6348268803706
0.18928928928928931,-1404.6800524251248
0.18948948948948952,-1406.722251852309
0.18968968968968972,-1408.761432829453
0.18988988988988992,-1410.797602996614
0.1900900900900901,-1412.830769966451
0.19029029029029032,-1414.860941324403
0.1904904904904905,-1416.888124628801
0.19069069069069072,-1418.912327410977
0.1908908908908909,-1420.933557175385
0.19109109109109113,-1422.9518213997703
0.1912912912912913,-1424.96712753524
0.19149149149149153,-1426.9794830064168
0.1916916916916917,-1428.9888952115425
0.19189189189189193,-1430.9953715226166
0.1920920920920921,-1432.9989192855007
0.19229229229229233,-1434.9995458200447
