T,hard sphere,square well,lennard jones
293,4.935218096479841e+25,-7.808415585641596e+24,-1.427576169296199e+25
294,4.935218096479841e+25,-7.573113825305371e+24,-1.4075669531477825e+25
295,4.935218096479841e+25,-7.339720888667401e+24,-1.3877138216943372e+25
296,4.935218096479841e+25,-7.108213848709997e+24,-1.3680150153515314e+25
297,4.935218096479841e+25,-6.878570141334444e+24,-1.3484688006955915e+25
298,4.935218096479841e+25,-6.650767558255658e+24,-1.3290734699801513e+25
299,4.935218096479841e+25,-6.42478424006194e+24,-1.3098273406638317e+25
300,4.935218096479841e+25,-6.200598669435891e+24,-1.2907287549481263e+25
301,4.935218096479841e+25,-5.978189664531701e+24,-1.2717760793254252e+25
302,4.935218096479841e+25,-5.757536372504746e+24,-1.2529677041369446e+25
303,4.935218096479841e+25,-5.538618263189756e+24,-1.2343020431401675e+25
304,4.935218096479841e+25,-5.321415122923326e+24,-1.2157775330857502e+25
305,4.935218096479841e+25,-5.105907048506708e+24,-1.197392633303502e+25
306,4.935218096479841e+25,-4.89207444130595e+24,-1.179145825297258e+25
307,4.935218096479841e+25,-4.679898001485009e+24,-1.161035612348481e+25
308,4.935218096479841e+25,-4.469358722368714e+24,-1.1430605191282811e+25
309,4.935218096479841e+25,-4.260437884932329e+24,-1.1252190913177131e+25
310,4.935218096479841e+25,-4.0531170524140334e+24,-1.1075098952360956e+25
311,4.935218096479841e+25,-3.847378065047581e+24,-1.0899315174772295e+25
312,4.935218096479841e+25,-3.6432030349117285e+24,-1.072482564553224e+25
313,4.935218096479841e+25,-3.4405743408935e+24,-1.0551616625458178e+25
314,4.935218096479841e+25,-3.2394746237625375e+24,-1.0379674567649966e+25
315,4.935218096479841e+25,-3.0398867813534776e+24,-1.0208986114147071e+25
316,4.935218096479841e+25,-2.8417939638538836e+24,-1.003953809265511e+25
317,4.935218096479841e+25,-2.6451795691946084e+24,-9.871317513340333e+24
318,4.935218096479841e+25,-2.450027238540616e+24,-9.704311565689888e+24
319,4.935218096479841e+25,-2.256320851879227e+24,-9.538507615436802e+24
320,4.935218096479841e+25,-2.064044523703528e+24,-9.373893201548076e+24
321,4.935218096479841e+25,-1.8731825987887778e+24,-9.210456033273818e+24
322,4.935218096479841e+25,-1.6837196480589337e+24,-9.048183987256853e+24
323,4.935218096479841e+25,-1.4956404645418698e+24,-8.887065104700573e+24
324,4.935218096479841e+25,-1.3089300594102739e+24,-8.727087588594286e+24
325,4.935218096479841e+25,-1.1235736581066568e+24,-8.568239800994341e+24
326,4.935218096479841e+25,-9.395566965504166e+23,-8.410510260359809e+24
327,4.935218096479841e+25,-7.568648174243286e+23,-8.253887638941377e+24
328,4.935218096479841e+25,-5.7548386653950825e+23,-8.098360760222466e+24
329,4.935218096479841e+25,-3.953998892759549e+23,-7.943918596411159e+24
330,4.935218096479841e+25,-2.1659912709764158e+23,-7.790550265981751e+24
331,4.935218096479841e+25,-3.90680141398611e+22,-7.638245031264817e+24
332,4.935218096479841e+25,1.3720682613285747e+23,-7.486992296084713e+24
333,4.935218096479841e+25,3.1223858419960366e+23,-7.336781603443657e+24
334,4.935218096479841e+25,4.8604026768881836e+23,-7.187602633250636e+24
335,4.935218096479841e+25,6.586247045182358e+23,-7.039445200095059e+24
336,4.935218096479841e+25,8.300045459705964e+23,-6.89229925106311e+24
337,4.935218096479841e+25,1.0001922697068668e+24,-6.746154863597091e+24
338,4.935218096479841e+25,1.1692001827181534e+24,-6.601002243395303e+24
339,4.935218096479841e+25,1.3370404242178955e+24,-6.45683172235294e+24
340,4.935218096479841e+25,1.5037249684757578e+24,-6.31363375654224e+24
341,4.935218096479841e+25,1.6692656275946777e+24,-6.17139892423104e+24
342,4.935218096479841e+25,1.8336740542319175e+24,-6.030117923939603e+24
343,4.935218096479841e+25,1.9969617442661864e+24,-5.889781572533976e+24
344,4.935218096479841e+25,2.159140039411377e+24,-5.750380803355325e+24
345,4.935218096479841e+25,2.320220129778473e+24,-5.611906664385057e+24
346,4.935218096479841e+25,2.4802130563868907e+24,-5.47435031644424e+24
347,4.935218096479841e+25,2.639129713626228e+24,-5.337703031426581e+24
348,4.935218096479841e+25,2.79698085166962e+24,-5.201956190564847e+24
349,4.935218096479841e+25,2.9537770788397857e+24,-5.067101282729266e+24
350,4.935218096479841e+25,3.109528863928812e+24,-4.933129902757877e+24
351,4.935218096479841e+25,3.2642465384730376e+24,-4.8000337498175384e+24
352,4.935218096479841e+25,3.417940298983443e+24,-4.6678046257953456e+24
353,4.935218096479841e+25,3.570620209133021e+24,-4.5364344337197474e+24
354,4.935218096479841e+25,3.722296201902066e+24,-4.4059151762104913e+24
355,4.935218096479841e+25,3.8729780816819986e+24,-4.2762389539569727e+24
356,4.935218096479841e+25,4.022675526339077e+24,-4.1473979642245187e+24
357,4.935218096479841e+25,4.1713980892384947e+24,-4.019384499387759e+24
358,4.935218096479841e+25,4.3191552012299814e+24,-3.8921909454903346e+24
359,4.935218096479841e+25,4.46595617259581e+24,-3.765809780831381e+24
360,4.935218096479841e+25,4.6118101949617195e+24,-3.640233574576446e+24
361,4.935218096479841e+25,4.756726343171884e+24,-3.515454985394381e+24
362,4.935218096479841e+25,4.900713577128515e+24,-3.3914667601180255e+24
363,4.935218096479841e+25,5.04378074359718e+24,-3.2682617324292567e+24
364,4.935218096479841e+25,5.185936577978003e+24,-3.14583282156706e+24
365,4.935218096479841e+25,5.327189706044104e+24,-3.024173031058915e+24
366,4.935218096479841e+25,5.467548645647636e+24,-2.903275447474312e+24
367,4.935218096479841e+25,5.607021808394141e+24,-2.783133239200704e+24
368,4.935218096479841e+25,5.745617501286082e+24,-2.663739655240558e+24
369,4.935218096479841e+25,5.883343928335929e+24,-2.545088024030052e+24
370,4.935218096479841e+25,6.020209192149855e+24,-2.427171752277735e+24
